id,name,y_pos,x_pos,address
EVS_000036,알작지해변,33.494447,126.436804,제주특별자치도 제주시 테우해안로 1 
EVS_000386,쏘카 제주공항_대여반납존,33.49388,126.49138,제주특별자치도 제주시 도두이동 162-12
EVS_000274,제주민속오일시장 버스정류장_대여반납존,33.49366,126.478066,제주특별자치도 제주시 일주서로 7783 
EVS_000280,제주지방법원 사거리 자전거거치대_대여반납존,33.49297,126.53557,제주특별자치도 제주시 남광북5길 3 
EVS_000403,조천만세동산_대여반납존,33.492913,126.487689,제주특별자치도 제주시 도령로11길 26-9 
EVS_000326,연대마을 버스정류장_대여반납존,33.492811,126.428607,제주특별자치도 제주시 연대마을길 6 
EVS_000333,제주보건소 교차로_대여반납존,33.492431,126.520225,제주특별자치도 제주시 연삼로 264 
EVS_000438,제주미주호텔_대여반납존,33.492171,126.496475,제주특별자치도 제주시 연동 300-4
EVS_000387,한일시티파크_대여반납존,33.49146,126.488686,제주특별자치도 제주시 연동 2335-4
EVS_000263,신제주로터리 버스정류장(공항방면)_대여반납존,33.49142,126.49688,제주특별자치도 제주시 신대로 67 
EVS_000250,비자림_대여반납존,33.491249,126.810719,제주특별자치도 제주시 구좌읍 평대리 3161-1
EVS_000264,퓨어스테이 호텔_대여반납존,33.49115,126.49645,제주특별자치도 제주시 신대로 70 
EVS_000265,롯데시티호텔 제주_대여반납존,33.490477,126.486391,제주특별자치도 제주시 도령로 83
EVS_000268,제주도의회 자전거거치대(전기차 충전소 옆),33.49017,126.49985,제주특별자치도 제주시 문연로 13 
EVS_000335,마트로 이도센트럴점 주차장_대여반납존,33.490132,126.536875,제주특별자치도 제주시 이도이동 2059
EVS_000425,제주상공회의소 자전거거치대_대여반납존,33.490099,126.51927,제주특별자치도 제주시 도남동 1052
EVS_000426,제주세무서 자전거거치대_대여반납존,33.489989,126.524445,제주특별자치도 제주시 도남동 1058
EVS_000112,누웨마루_대여반납존,33.489714,126.490817,제주특별자치도 제주시 연동 272
EVS_000095,제주도청 자전거거치대(흡연실 뒷편)_대여반납존,33.488933,126.497941,제주특별자치도 제주시 문연로 6
EVS_000401,고희주_대여반납존,33.488489,126.471017,제주특별자치도 제주시 수덕로 44
EVS_000262,연동주민센터 버스정류장(지지지흑돼지)_대여반납존,33.4881,126.49634,제주특별자치도 제주시 신대로 104 
EVS_000272,제주 주공1단지 아파트_대여반납존,33.48791,126.47303,제주특별자치도 제주시 정존11길 54 
EVS_000327,외도부영 1차 아파트 입구_대여반납존,33.487744,126.433169,제주특별자치도 제주시 우정로11길 18 
EVS_000261,연동주민센터 버스정류장(제스코마트)_대여반납존,33.48731,126.4967,제주특별자치도 제주시 신대로 109 
EVS_000464,모이소_대여반납존,33.487028,126.488535,제주특별자치도 제주시 신광로8길 14 
EVS_000271,노형 뜨란채 아파트_대여반납존,33.48655,126.47268,제주특별자치도 제주시 수덕로 44 
EVS_000334,아시아호텔 자전거거치대_대여반납존,33.486178,126.485792,제주특별자치도 제주시 노연로 53 
EVS_000269,제주관광공사 자전거거치대(웰컴센터)_대여반납존,33.486,126.49959,제주특별자치도 제주시 선덕로 23 
EVS_000131,누웨마루2_대여반납존,33.485937,126.490585,제주특별자치도 제주시 연동 273
EVS_000034,제주관광공사,33.4857,126.4991,제주특별자치도 제주시 선덕로 23 
EVS_000192,하귀하나로마트 버스정류장_대여반납존,33.485621,126.412095,제주특별자치도 제주시 애월읍 하귀1리 584
EVS_000328,외도부영 2차아파트(제주은행ATM)_대여반납존,33.485588,126.432644,제주특별자치도 제주시 우정로15길 12 
EVS_000281,제주 해양경찰청 교차로_대여반납존,33.4855,126.54205,제주특별자치도 제주시 구산로 65 
EVS_000137,이마트 신제주점 버스정류장_대여반납존,33.485085,126.480101,제주특별자치도 제주시 노형동 948
